iter	Logloss	Accuracy
755	0.05399946908	1
756	0.05391700492	1
757	0.05377565211	1
758	0.05367611829	1
759	0.05366653729	1
760	0.05365574827	1
761	0.0534924174	1
762	0.05348175229	1
763	0.05347117795	1
764	0.05317841022	1
765	0.05302423649	1
766	0.05290050388	1
767	0.05277126293	1
768	0.05272955549	1
769	0.05267515191	1
770	0.05266586288	1
771	0.05265683689	1
772	0.0524578673	1
773	0.05238089571	1
774	0.05233150844	1
775	0.05217620746	1
776	0.05210886651	1
777	0.05197790711	1
778	0.05196903742	1
779	0.05195921711	1
780	0.05184087785	1
781	0.05183201327	1
782	0.0517093379	1
783	0.05150918618	1
784	0.05137244214	1
785	0.05136057589	1
786	0.05114875189	1
787	0.05110070891	1
788	0.05109199693	1
789	0.0510828171	1
790	0.05104576794	1
791	0.05098152536	1
792	0.05097015128	1
793	0.05086200755	1
794	0.05065855993	1
795	0.05065028145	1
796	0.05057629913	1
797	0.05056809606	1
798	0.05055970412	1
799	0.05041950189	1
800	0.0502640028	1
801	0.05025289643	1
802	0.05009207415	1
803	0.05006930562	1
804	0.04993260354	1
805	0.04992361112	1
806	0.04984632883	1
807	0.04974155434	1
808	0.04954777615	1
809	0.04953975658	1
810	0.0494172036	1
811	0.04932232942	1
812	0.04926941395	1
813	0.0492245131	1
814	0.04912373243	1
815	0.04899824535	1
816	0.04899035716	1
817	0.0489825298	1
818	0.04878755692	1
819	0.04861891011	1
820	0.04861113744	1
821	0.04854250693	1
822	0.04838989281	1
823	0.04838029462	1
824	0.0483368024	1
825	0.0482356374	1
826	0.0481387878	1
827	0.04795022988	1
828	0.04778866618	1
829	0.04764532359	1
830	0.04751497341	1
831	0.04738372364	1
832	0.04737595241	1
833	0.04730866204	1
834	0.04730117439	1
835	0.0472027093	1
836	0.04713831233	1
837	0.0470424207	1
838	0.04693773618	1
839	0.04692802264	1
840	0.04691976405	1
841	0.04674386547	1
842	0.04657347515	1
843	0.04648046776	1
844	0.0463810432	1
845	0.04625037587	1
846	0.04620886122	1
847	0.04620144423	1
848	0.04607544762	1
849	0.0460672795	1
850	0.04596978043	1
851	0.04587114169	1
852	0.04578405748	1
853	0.04555880929	1
854	0.04546591341	1
855	0.04545868757	1
856	0.04532766138	1
857	0.04523710394	1
858	0.04506399488	1
859	0.04497700112	1
860	0.04489116592	1
861	0.04480227122	1
862	0.04464580915	1
863	0.04455988755	1
864	0.04447820135	1
865	0.04439731621	1
866	0.04425000665	1
867	0.04422341182	1
868	0.04405548181	1
869	0.04396041313	1
870	0.04381363712	1
871	0.04370029589	1
872	0.04357297617	1
873	0.04348361162	1
874	0.0434045105	1
